Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
29,26,6,5,24,21,20,Train/20/00020_00000_00002.png
28,27,5,6,23,22,20,Train/20/00020_00000_00003.png
36,33,5,6,31,28,20,Train/20/00020_00000_00010.png
38,34,5,6,32,29,20,Train/20/00020_00000_00012.png
45,39,6,5,40,34,20,Train/20/00020_00000_00016.png
47,42,5,5,41,36,20,Train/20/00020_00000_00017.png
111,100,9,8,102,92,20,Train/20/00020_00000_00027.png
45,42,5,6,40,37,20,Train/20/00020_00001_00018.png
54,46,6,6,48,41,20,Train/20/00020_00001_00022.png
55,47,6,5,50,42,20,Train/20/00020_00001_00023.png
59,51,6,6,53,46,20,Train/20/00020_00001_00025.png
69,58,6,5,63,53,20,Train/20/00020_00001_00029.png
39,39,5,6,34,34,20,Train/20/00020_00002_00009.png
41,40,5,6,36,35,20,Train/20/00020_00002_00010.png
43,40,6,6,38,35,20,Train/20/00020_00002_00011.png
44,41,6,6,39,36,20,Train/20/00020_00002_00012.png
68,65,6,6,62,60,20,Train/20/00020_00002_00024.png
72,71,7,7,66,64,20,Train/20/00020_00002_00025.png
87,81,8,7,80,74,20,Train/20/00020_00002_00027.png
34,34,5,6,29,29,20,Train/20/00020_00003_00000.png
38,37,6,6,33,31,20,Train/20/00020_00003_00004.png
43,41,5,6,38,36,20,Train/20/00020_00003_00010.png
46,44,5,6,41,39,20,Train/20/00020_00003_00012.png
49,47,5,5,44,41,20,Train/20/00020_00003_00014.png
53,51,6,6,48,45,20,Train/20/00020_00003_00016.png
57,54,6,6,51,49,20,Train/20/00020_00003_00018.png
62,58,5,5,57,53,20,Train/20/00020_00003_00020.png
83,80,8,8,76,73,20,Train/20/00020_00003_00025.png
29,29,6,6,24,24,20,Train/20/00020_00004_00000.png
34,33,6,5,29,28,20,Train/20/00020_00004_00008.png
33,34,5,6,28,29,20,Train/20/00020_00004_00009.png
36,36,5,5,31,31,20,Train/20/00020_00004_00012.png
36,37,5,6,31,32,20,Train/20/00020_00004_00013.png
48,49,5,6,43,44,20,Train/20/00020_00004_00026.png
52,53,5,6,47,48,20,Train/20/00020_00004_00027.png
58,58,5,5,53,53,20,Train/20/00020_00004_00029.png
36,33,5,5,30,28,20,Train/20/00020_00005_00011.png
38,35,6,6,33,30,20,Train/20/00020_00005_00012.png
39,35,6,5,33,29,20,Train/20/00020_00005_00013.png
40,37,6,6,34,31,20,Train/20/00020_00005_00014.png
40,38,5,5,35,32,20,Train/20/00020_00005_00016.png
49,47,5,6,44,42,20,Train/20/00020_00005_00021.png
49,47,5,6,44,42,20,Train/20/00020_00005_00022.png
59,55,5,6,54,50,20,Train/20/00020_00005_00027.png
68,60,7,5,62,55,20,Train/20/00020_00005_00028.png
27,27,6,6,22,21,20,Train/20/00020_00006_00001.png
29,27,5,5,23,22,20,Train/20/00020_00006_00003.png
35,32,5,6,29,27,20,Train/20/00020_00006_00010.png
38,36,5,6,32,30,20,Train/20/00020_00006_00013.png
39,36,5,5,33,30,20,Train/20/00020_00006_00014.png
50,44,6,5,45,39,20,Train/20/00020_00006_00020.png
60,52,6,5,54,46,20,Train/20/00020_00006_00023.png
27,27,6,6,22,22,20,Train/20/00020_00007_00000.png
27,27,6,6,22,22,20,Train/20/00020_00007_00001.png
27,28,5,6,22,23,20,Train/20/00020_00007_00006.png
28,28,5,5,23,23,20,Train/20/00020_00007_00009.png
28,28,5,5,23,23,20,Train/20/00020_00007_00012.png
33,32,6,5,28,27,20,Train/20/00020_00007_00016.png
40,39,5,6,35,34,20,Train/20/00020_00007_00019.png
63,60,5,5,58,55,20,Train/20/00020_00007_00025.png
106,100,10,8,97,92,20,Train/20/00020_00007_00028.png
124,119,11,10,114,109,20,Train/20/00020_00007_00029.png
30,30,5,5,25,25,20,Train/20/00020_00008_00000.png
30,31,5,6,25,26,20,Train/20/00020_00008_00001.png
